runs,cost
1149,1.4141334
1150,2.0649832e-10
1151,1.4141698
1152,1.4142135
1153,9.097354e-13
1154,1.4141129
1155,1.4137036
1156,1.4142095
1157,1.4142127
1158,1.4139098
1159,1.4142135
1160,1.4142077
1161,1.4138867
1162,3.552809e-16
1163,1.4142106
1164,1.8332504e-18
1165,4.2521814e-16
1166,1.4142115
1167,3.4292416e-21
1168,5.4428373e-16
1169,1.4142077
1170,6.241203e-15
1171,1.4141868
1172,1.4142134
1173,1.4142135
1174,1.4142135
1175,1.4141997
1176,1.4126465
1177,1.4142106
1178,1.4141921
1179,1.4142135
1180,1.4113357
1181,1.5688716e-12
1182,1.4142135
1183,1.4142059
1184,1.4141556
1185,1.4141963
1186,3.919671e-17
1187,1.4141377
1188,1.4104723
1189,1.4138937
1190,1.4142123
1191,1.4140865
1192,1.4142033
1193,1.4142135
1194,1.4142046
1195,1.4142116
1196,1.4136534
1197,1.4141495
1198,6.964725e-13
1199,1.4142135
1200,1.414191
1201,1.414199
1202,1.4141214
1203,1.4142135
1204,1.4142007
1205,5.134941e-12
1206,1.4142135
1207,1.4141667
1208,1.3988073
1209,1.4141561
1210,1.4136999
1211,1.4116285
1212,1.4142135
1213,1.4142098
1214,1.4142039
1215,1.4141059
1216,1.4095831
1217,1.4132557
1218,1.4142135
1219,1.4141698
1220,1.4140334
1221,1.413831
1222,1.4141234
1223,1.4139792
1224,1.414163
1225,1.4141928
1226,1.4142095
1227,1.4142135
1228,1.4141732
1229,1.4142135
1230,1.414081
1231,1.4138229
1232,1.4142025
1233,1.4142079
1234,1.4139913
1235,1.4142103
1236,1.4140222
1237,1.4140782
1238,1.4140854
1239,1.4142027
1240,1.4103507
1241,1.4142077
1242,1.4142135
1243,1.4141921
1244,1.414212
1245,1.414213
1246,1.4142115
1247,1.414212
1248,1.4142123
1249,1.6440772e-11
1250,1.414213
1251,1.4140037
1252,1.4141421
1253,1.4135228
1254,0.000065820415
1255,1.4141926
1256,1.4141043
1257,1.0643445e-18
1258,1.4140847
1259,8.639442e-18
1260,1.4141104
1261,1.4141511
1262,1.4100219
1263,1.4141984
1264,1.414183
1265,1.4139665
1266,7.645598e-21
1267,1.4221415e-12
1268,1.4141476
1269,1.4142135
1270,1.3966507
1271,1.414212
1272,1.4132208
1273,1.4142135
1274,1.414209
1275,1.4142107
1276,1.4142116
1277,1.4142135
1278,1.4141887
1279,1.4141761
1280,1.4142118
1281,1.4141966
1282,8.549524e-19
1283,1.4142135
1284,1.413139
1285,1.4142075
1286,1.4141576
1287,1.414202
1288,1.4141984
1289,1.4137521
1290,1.4142106
1291,1.4142135
1292,1.4142135
1293,1.4141973
